Numero_NF|Data_NF|Cliente|CNPJ_CPF|Endereco|Cidade|Estado|Item|Descricao|Qtd|Valor_Unitario
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|1|laborum|3|79.56
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|2|cum|10|28.68
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|3|nesciunt|9|95.78
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|4|commodi|2|14.78
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|5|similique|6|87.09
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|6|ipsam|7|34.07
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|7|debitis|8|20.3
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|8|amet|6|80.3
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|9|temporibus|9|18.14
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|10|esse|4|30.69
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|11|assumenda|7|64.17
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|12|assumenda|10|33.87
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|13|beatae|6|75.73
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|14|accusamus|10|34.88
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|15|est|4|59.78
1789|1968-02-27|Nunes|99317420179|Lago Felipe Nogueira, 948|Melo|GO|16|assumenda|7|85.19
7738|2002-11-11|Nunes - EI|25691533891|Col�nia Daniela Silva, 29|Pereira do Campo|BA|1|consequatur|7|18.22
7738|2002-11-11|Nunes - EI|25691533891|Col�nia Daniela Silva, 29|Pereira do Campo|BA|2|nisi|3|44.36
7738|2002-11-11|Nunes - EI|25691533891|Col�nia Daniela Silva, 29|Pereira do Campo|BA|3|voluptas|4|99.26
7738|2002-11-11|Nunes - EI|25691533891|Col�nia Daniela Silva, 29|Pereira do Campo|BA|4|velit|1|65.87
7738|2002-11-11|Nunes - EI|25691533891|Col�nia Daniela Silva, 29|Pereira do Campo|BA|5|eum|8|35.73
